Text,Score,Suggestion
این اولین تجربه من برای خرید ایفون هست   امروز ب دستم رسیده   به اسم طلایی هست ولی دراصل رزگلده  خیلی هم خوش رنگ هست  ,100,1
خرید این محصول رو توصیه میکنم ,84,1
1 ساله این گوشی رو دارم   هیچ نقطه ضعفی ازش ندیدم ,60,1
سلام خدمت دوستان این گوشی از همه نظر عالی  کیفیت ساخت سرعت اجرا کیفیت صدا و تصویر  از نظر حافظه هم فقط 5 گیگ در دسترس شما قرار میگیره  ,96,1
سلام دوستانی که نگران شکستن صفحه نمایش هستند این رو بدونند که صفحه با گوریلا گلس 5 محافظت میشه و با خدمات ویژه سامسونگ اگر تحت هر شرایط صفحه گوشی دچار ایراد بشه با 200 هزار تومان صفحه رو براتون تعویض میکنند و از لحاظ امکانات هم گوشی عالیه و من از خرید خودم راضیم ,92,1
من پکیج کاملش روخریدم   ازهرنظرعالیه   هیچ نقدوایرادی بهش وارد نیست   فقط یه گوشی لوکسه باید خیلی مواظب ضربه خوردن وشکستنش باشین ,60,1
اول از همه خوشحالم که بالاخره نسخه های 128 گیگابایتی برای فروش قرار گرفت چون همیشه من با حافظه گوشی های اندرویدی مشکل داشتم  گوشی قبلی من s7 بود و بعد از 2 سال استفاده که بسیار هم راضی بودم به دلیل تغییرات مثبتی که در گوشی های سامسونگ ایجاد شد تصمیم گرفتم گوشی رو عوض کنم این گوشی واقعا زیباست و طراحی منحصر به فردی داره  زمانی که گوشی رو در دست میگیرید بسیار خودش دست هست و حس خیلی خوبی داره تنها دلیلی که نسخه پلاس رو انتخاب نکردم بزرگی بیش از حد و وزن گوشی بود ولی این نسخه از نظر اندازه فوق العادست کیفیت و بلندی صدای  اسپیکر  ها عالی هست  زمانی که با گوشی قبلی خودم تست کردم واقعا تفاوت زیادی حس میشد  همچنین با گوشی HTC U11 هم مقایسه کردم و باز هم بلندی صدای اس 9 بیشتر بود اما از نظر کیفیت شاید کمی u11 بهتر بود  نگرانی من جای سنسور اثر انگشت بود چون با اس8 که کار کرده بودم اصلا جای مناسبی نداشت ولی این مشکل با تغییر جای سنسور بنظرم کاملا حل شده و سرعت سنسور هم عالی هست و با وجود Intelligent scan که ترکیب سنسور عنبیه و تشخیص چهره هست خیلی نیازی به اثر انگشت احساس نمیشه چون حتی توی تاریکی مطلق هم به سرعت گوشی از این طریق باز میشه اما یک ایراد امنیتی که دیدم این بود که اگر چشمای من بسته باشه باز هم با روش intelligent scan گوشی سریعا باز میشه ولی توی آیفون X ظاهرا با چشمان بسته گوشی باز نمیشه و این از نظر امنیت خیلی بهتره دوربین سلفی خیلی بهتر از گوشی قبلی من هست ولی تفاوت زیادی توی دوربین اصلی با گوشی قبلی خودم ندیدم درکل دوربین اصلی کیفیت خوبی داره و به نسبت نسل های قبل توی زوم آخر نویز کمتری دیده میشه یکی از قابلیت هایی که روی دوربین اس 9 پلاس وجود داره به دلیل دو دوربین بودن گوشی میتونه عکس های بوکه بگیره ولی این گوشی هم چنین قابلیتی داره به اسم selective focus که اگر جسم در فاصله نیم متری باشه دقیقا همون افکت بوکه رو میتونه اعمال کنه و از نظر عملکرد هم خوب بود و در نهایت کیفیت صفحه هم که فوق العادست و بنظرم بهترین هست  و چند مورد هم از نقاط ضعف بگم  باتری   باتری متاسفانه زیاد رضایت بخش نیست و بنظرم به زور میتونه گوشی رو از صبح ساعت 7 8 تا 12 شب برسونه البته استفاده من زیاد هست و همیشه اینترنت هم روشن هست مخصوصا 4G ولی باز انتظار بیشتری میرفت که ظاهرا نسخه پلاس توی این مورد بهتره  مورد بعد AR ایموجی هست که واقعا از نظر عملکرد ضعیف هست و کلا فقط یکبار تستش کردم و کلا ناامید شدم  و دوستان هم تست کردن و اصلا نتیجه جالبی نداشت و همرو  تقریبا یکسان نشون میده نمیدونم چرا سامسونگ این همه روی قابلیت AR ایموجی تبلیغ کرد وقتی به بلوغ نرسیده   و ای کاش مثل نسخه پلاس 6 گیگابایت رم داشت و نمیدونم چرا سامسونگ خواست مثل اپل بین نسخه معمولی و پلاس فرق بزاره   همش تقصیر اپل هست اینارو باب میکنه  D   چون تقریبا 14 15 تا اپ که باز باشه دیگه قبلی هارو میبنده و شروع به ریلود کردن برنامه ها میکنه اگر بازی سنگین اجرا بشه که وضعیت بدتر میشه و با 5 6 تا اپ باز به مشکل بر میخوره و همرو موقع اجرای دوباره ریلود میکنه  در نهایت از خریدم راضی هستم ولی اگر رم 6 گیگابایتی و دوربین دوم نسخه پلاس رو داشت واقعا عالی میشد  چون اصلا نمیتونستم با نسخه پلاس از نظر اندازه کنار بیام و اگر روی قابلیت AR ایموجی بیشتر کار بشه و مثل آیفون X دوربین اسکن سه بعدی اضافه بشه قطعا قابلیت جالبی میشه ,96,1
من دو ماهه خریدم واقعا راضیم  دوربینشم عالیه   بهترین گوشی در رنج قیمت خودشه ,100,1
بنظر من گوشی خوب و مقرون به صرفه ای بود توی این دوسالی که داشتمش همه جور استفاده ای ازش کردم از بازی های نسبتا سنگین دیتا دار تا استفاده های معمولی صفحه نمایش فوق العاده که بنظرم تنها و بهترین نقطه ی قوتش که باعث شد بگیرمش همین بود چون لذت کار کردن باهاش رو خیلی بیشتر کرده بود و بنظرم عمر خودشو کرده و بیشتر از این انتظاری هم نداشتم ازش نسبت به هزینه ای که کردم البته اینم بگم چندباری از دستم زمین خورده ولی کیفیت مناسب و استحکام خوبی داشت و مشکلی براش پیش نیومد ,100,1
از خریدم راضی ام و گوشی بینظیریه  منتهی یه ایرادی که داره با برنامه های ضبط مکالمات صدای طرف مقابل ضبط نمیشه همه برنامه ها رو امتحان کردم  در اینترنت و سایتهای خارجی که گشتم همه این مشکل داشتن  امیدوارم سامسونگ در آپدیت های بعدی این ایراد رو رفع کنه  بیکسبی ویژن هم در ایران کار نمیکنه برا ضبط ویدئو با تصویر آهسته اگه نور کافی نباشه کیفیتش خیلی خراب میشه ولی در نور بیرون خیلی عالی و با کیفیت ضبط میشه  فیلمبرداری در حالت عادی حتی در تاریکی خیلی خوبه ,92,1
